EntityCountry,EntityCountryName,EntityType
4,United States,Country/Region
5,UK,Country/Region
6,France,Country/Region
7,Italy,Country/Region
8,Germany,Country/Region
9,the Netherlands,Country/Region
10,Denmark,Country/Region
11,Sweden,Country/Region
12,Spain,Country/Region
13,Slovenia,Country/Region
14,Romania,Country/Region
15,Canada,Country/Region
16,Poland,Country/Region
17,Malta,Country/Region
18,Ireland,Country/Region
19,Greece,Country/Region
20,Singapore,Country/Region
21,India,Country/Region
22,Bhutan,Country/Region
23,China,Country/Region
24,Iran,Country/Region
25,Syria,Country/Region
26,Thailand,Country/Region
27,Russia,Country/Region
28,Turkmenistan,Country/Region
29,Pakistan,Country/Region
30,Japan,Country/Region
31,South Korea,Country/Region
32,Kyrgyzstan,Country/Region
52,Australia,Country/Region
53,Switzerland,Country/Region
937,Taiwan,Country/Region
939,Portugal,Country/Region
